Country,HealthExpenditure
Afghanistan,186.0
Albania,697.0
Algeria,963.0
Andorra,3607.0
Angola,165.0
AntiguaandBarbuda,1406.0
Argentina,1990.0
Armenia,1037.0
Australia,5005.0
Austria,5879.0
Azerbaijan,634.0
Bahamas,2005.0
Bahrain,1955.0
Bangladesh,110.0
Barbados,1204.0
Belarus,1132.0
Belgium,5405.0
Belize,506.0
Benin,83.0
Bhutan,322.0
Bolivia,496.0
BosniaandHerzegovina,1301.0
Botswana,1089.0
Brazil,1531.0
Brunei,1953.0
Bulgaria,1634.0
BurkinaFaso,112.0
Burundi,66.0
CapeVerde,400.0
Cambodia,261.0
Cameroon,134.0
Canada,5200.0
CentralAfricanRepublic,97.0
Chad,79.0
Chile,2306.0
China,935.0
Colombia,1155.0
Comoros,134.0
Congo,125.0
CookIslands,752.0
CostaRica,1337.0
IvoryCoast,176.0
Croatia,1876.0
Cuba,2519.0
Cyprus,2625.0
CzechRepublic,3041.0
DRCongo,31.0
Denmark,5794.0
Djibouti,135.0
Dominica,710.0
DominicanRepublic,1018.0
Ecuador,955.0
Egypt,614.0
ElSalvador,592.0
EquatorialGuinea,697.0
Eritrea,74.0
Estonia,2428.0
Eswatini,696.0
Ethiopia,67.0
Fiji,372.0
Finland,4457.0
France,5250.0
Gabon,491.0
Gambia,81.0
Georgia,796.0
Germany,6098.0
Ghana,168.0
Greece,2340.0
Grenada,694.0
Guatemala,483.0
Guinea,109.0
Guinea-Bissau,123.0
Guyana,513.0
Haiti,144.0
Honduras,362.0
Hungary,2115.0
Iceland,5113.0
India,275.0
Indonesia,375.0
Iran,1691.0
Iraq,716.0
Ireland,5897.0
Israel,3207.0
Italy,3624.0
Jamaica,559.0
Japan,4504.0
Jordan,738.0
Kazakhstan,784.0
Kenya,179.0
Kiribati,278.0
Kuwait,3669.0
Kyrgyzstan,260.0
Laos,167.0
Latvia,1896.0
Lebanon,1086.0
Lesotho,309.0
Liberia,12643.0
Libya,
Lithuania,2313.0
Luxembourg,6048.0
Madagascar,79.0
Malawi,120.0
Malaysia,1194.0
Maldives,1443.0
Mali,90.0
Malta,3897.0
MarshallIslands,677.0
Mauritania,190.0
Mauritius,1381.0
Mexico,1066.0
Micronesia,414.0
Monaco,2983.0
Mongolia,519.0
Montenegro,1711.0
Morocco,467.0
Mozambique,118.0
Myanmar,292.0
Namibia,883.0
Nauru,1174.0
Nepal,180.0
Netherlands,5635.0
NewZealand,4024.0
Nicaragua,474.0
Niger,78.0
Nigeria,233.0
Niue,1405.0
NorthMacedonia,1073.0
Norway,6818.0
Oman,1730.0
Pakistan,178.0
Palau,2012.0
Panama,1857.0
PapuaNewGuinea,101.0
Paraguay,935.0
Peru,767.0
Philippines,394.0
Poland,2015.0
Portugal,3242.0
Qatar,3166.0
SouthKorea,3214.0
Moldova,480.0
Romania,1576.0
Russia,1488.0
Rwanda,170.0
SaintKittsandNevis,1556.0
SaintLucia,611.0
SaintVincentandtheGrenadines,550.0
Samoa,355.0
SanMarino,4340.0
SãoToméandPríncipe,214.0
SaudiArabia,3520.0
Senegal,146.0
Serbia,1485.0
Seychelles,1549.0
SierraLeone,257.0
Singapore,4439.0
Slovakia,2180.0
Slovenia,3158.0
SolomonIslands,108.0
SouthAfrica,1129.0
SouthSudan,114.0
Spain,3576.0
SriLanka,517.0
Sudan,293.0
Suriname,1180.0
Sweden,5828.0
Switzerland,8114.0
Syria,
Tajikistan,250.0
Thailand,723.0
EastTimor,353.0
Togo,109.0
Tonga,355.0
TrinidadandTobago,2100.0
Tunisia,912.0
Turkey,1171.0
Turkmenistan,1275.0
Tuvalu,758.0
Uganda,139.0
Ukraine,683.0
UnitedArabEmirates,3173.0
UnitedKingdom,4620.0
Tanzania,112.0
UnitedStates,10624.0
Uruguay,2169.0
Uzbekistan,459.0
Vanuatu,109.0
Venezuela,384.0
Vietnam,440.0
Yemen,
Zambia,208.0
Zimbabwe,198.0
